id,basis,threshold,achieved,n_coeff,coeff_ratio,eps_l2,rmse,snr_db
S0,total,0.5,0.9318336557762703,1,0.038461538461538464,0.26108685187831654,66.63914126044088,11.664299966870988
S0,total,0.75,0.9318336557762703,1,0.038461538461538464,0.26108685187831654,66.63914126044088,11.664299966870988
S0,total,0.8,0.9318336557762703,1,0.038461538461538464,0.26108685187831654,66.63914126044088,11.664299966870988
S0,total,0.9,0.9318336557762703,1,0.038461538461538464,0.26108685187831654,66.63914126044088,11.664299966870988
S0,total,0.95,0.9647406828096452,3,0.11538461538461539,0.18777464469505709,47.92712073756568,14.52726102227631
S0,total,0.99,0.9906374708963839,9,0.34615384615384615,0.09676016279242264,24.69681682673436,20.286068192769633
S0,total,0.995,0.995080535855054,14,0.5384615384615384,0.07013889181435787,17.9020716127297,23.080822003966674
S0,total,0.999,0.9990690043256882,22,0.8461538461538461,0.030512221720352513,7.787861544020291,30.310523368777492
S0,ac,0.5,0.6965511234870817,4,0.15384615384615385,0.55086193961184,36.708966608793865,5.179144660995092
S0,ac,0.75,0.8061812064198219,6,0.23076923076923078,0.4402485588621245,29.33778590371864,7.126041140115532
S0,ac,0.8,0.8061812064198219,6,0.23076923076923078,0.4402485588621245,29.33778590371864,7.126041140115532
S0,ac,0.9,0.9114142282897276,12,0.46153846153846156,0.2976336199260299,19.83404884210708,10.526360271415449
S0,ac,0.95,0.9601178059702573,17,0.6538461538461539,0.19970526790683826,13.308187558497986,13.992209579631895
S0,ac,0.99,0.9936483061789921,23,0.8846153846153846,0.07969751452215176,5.31097392834771,21.971104449404216
S0,ac,0.995,1.0000000000000007,25,0.9615384615384616,9.47024510782607e-15,6.310890015114207e-13,280.47277560979984
S0,ac,0.999,1.0000000000000007,25,0.9615384615384616,9.47024510782607e-15,6.310890015114207e-13,280.47277560979984
S1,total,0.5,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.75,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.8,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.9,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.95,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.99,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.995,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,total,0.999,1.0,2,0.07692307692307693,3.0046858996851682e-15,2.1246337750029847e-15,290.444018421067
S1,ac,0.5,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.75,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.8,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
S1,ac,0.9,1.0,2,0.07692307692307693,3.008470202412198e-15,2.12730968112333e-15,290.4330857129765
