n,x,recon_11coef
0,251.0,247.38479003214067
1,214.0,231.62561811702474
2,195.0,202.44522487310502
3,175.0,171.28536355108818
4,174.0,156.26879222838593
5,173.0,172.00609579662293
6,198.0,223.3004187984344
7,295.0,298.8637374270383
8,403.0,367.89499181832457
9,388.0,391.7683428931232
10,318.0,352.4912007370336
11,288.0,274.7491407756334
12,232.0,212.9770345936612
13,203.0,206.25732310388872
14,215.0,242.19131913175306
15,303.0,269.03058591359854
16,212.0,247.66546699855155
17,228.0,191.36818567231427
18,135.0,152.06742820361987
19,165.0,168.03212903772527
20,227.0,227.7424681304621
21,286.0,284.9290474272519
22,316.0,304.34847164530487
23,296.0,289.08252177118186
24,216.0,266.22239280922304
25,300.0,254.00190851350854
