n,x
0,1.0
1,0.7485107481711011
2,0.12053668025532298
3,-0.5680647467311557
4,-0.970941817426052
5,-0.8854560256532101
6,-0.3546048870425359
7,0.35460488704253557
8,0.88545602565321
9,0.9709418174260521
10,0.5680647467311567
11,-0.12053668025532312
12,-0.7485107481711006
13,-1.0
14,-0.7485107481711012
15,-0.12053668025532296
16,0.5680647467311561
17,0.9709418174260518
18,0.8854560256532104
19,0.35460488704253623
20,-0.35460488704253357
21,-0.8854560256532098
22,-0.970941817426052
23,-0.568064746731157
24,0.12053668025532181
25,0.7485107481711004
