n,x
0,0.9615384615384615
1,0.6246611197792568
2,-0.15899821871686143
3,-0.8614454043551949
4,-1.0094033558875908
5,-0.5031847105053077
6,0.316143348580997
7,0.8965547042238762
8,0.8469944871916717
9,0.2008541258260193
10,-0.6065262851926932
11,-1.0311704125595926
12,-0.7869722866326397
13,-0.038461538461538984
14,0.7100492097095621
15,0.9542473356365153
16,0.5296032082696184
17,-0.27777720274909473
18,-0.9239175641147483
19,-0.9734777811469535
20,-0.39306642550407656
21,0.426261633582229
22,0.9324802789645136
23,0.7845223274321188
24,0.08207514179378475
25,-0.701584196702332
