n,x
0,5.226679851133547
1,4.048743061768545
2,3.4978991072061763
3,3.3011374576490295
4,2.9987236195186298
5,3.394658495632003
6,2.755145012555783
7,1.665434399625196
8,2.341257048296575
9,3.2312034599724377
10,3.8354158814801
11,4.531595488981185
12,3.92352911662287
13,3.5850746952370125
14,4.533923535908434
15,4.4499849326266965
16,3.7516904492321754
17,3.103821152766859
18,1.9200745543963542
19,2.1147258989626736
20,3.2044365118932596
21,2.9734760017317807
22,2.871341312313049
23,3.217412025401105
24,3.416288550851684
25,4.659137481054109
