r,n,x
0.0,0,1.820802577948267
0.0,1,0.6428657885832656
0.0,2,0.09202183402089684
0.0,3,-0.10473981553624984
0.0,4,-0.4071536536666498
0.0,5,-0.011218777553276188
0.0,6,-0.6507322606294967
0.0,7,-1.7404428735600836
0.0,8,-1.0646202248887047
0.0,9,-0.17467381321284192
0.0,10,0.42953860829482016
0.0,11,1.1257182157959051
0.0,12,0.5176518434375904
0.0,13,0.17919742205173314
0.0,14,1.1280462627231538
0.0,15,1.0441076594414165
0.0,16,0.3458131760468958
0.0,17,-0.30205612041842056
0.0,18,-1.4858027187889253
0.0,19,-1.291151374222606
0.0,20,-0.20144076129201982
0.0,21,-0.4324012714534987
0.0,22,-0.5345359608722305
0.0,23,-0.18846524778417434
0.0,24,0.010411277666404484
0.0,25,1.2532602078688293
0.5,0,2.246537237096427
0.5,1,1.0686004477314255
0.5,2,0.5177564931690568
0.5,3,0.3209948436119101
0.5,4,0.01858100548151015
0.5,5,0.41451588159488373
0.5,6,-0.2249976014813368
0.5,7,-1.3147082144119238
0.5,8,-0.6388855657405448
0.5,9,0.251060845935318
0.5,10,0.8552732674429802
0.5,11,1.551452874944065
0.5,12,0.9433865025857504
0.5,13,0.6049320811998931
0.5,14,1.5537809218713137
0.5,15,1.4698423185895764
0.5,16,0.7715478351950558
0.5,17,0.12367853872973938
0.5,18,-1.0600680596407654
0.5,19,-0.8654167150744461
0.5,20,0.22429389785614012
0.5,21,-0.0066666123053387705
0.5,22,-0.1088013017240706
0.5,23,0.2372694113639856
0.5,24,0.4361459368145644
0.5,25,1.6789948670169892
1.0,0,2.672271896244587
1.0,1,1.4943351068795856
1.0,2,0.9434911523172167
1.0,3,0.74672950276007
1.0,4,0.4443156646296701
1.0,5,0.8402505407430437
1.0,6,0.20073705766682315
1.0,7,-0.8889735552637638
1.0,8,-0.21315090659238478
1.0,9,0.676795505083478
1.0,10,1.28100792659114
1.0,11,1.977187534092225
1.0,12,1.3691211617339103
1.0,13,1.030666740348053
1.0,14,1.9795155810194736
1.0,15,1.8955769777377363
1.0,16,1.1972824943432157
1.0,17,0.5494131978778993
1.0,18,-0.6343334004926054
1.0,19,-0.43968205592628606
1.0,20,0.6500285570043001
1.0,21,0.4190680468428212
1.0,22,0.31693335742408935
1.0,23,0.6630040705121456
1.0,24,0.8618805959627244
1.0,25,2.104729526165149
2.0,0,3.523741214540907
2.0,1,2.3458044251759054
2.0,2,1.7949604706135367
2.0,3,1.59819882105639
2.0,4,1.29578498292599
2.0,5,1.6917198590393636
2.0,6,1.052206375963143
2.0,7,-0.03750423696744387
2.0,8,0.6383184117039351
2.0,9,1.5282648233797977
2.0,10,2.13247724488746
2.0,11,2.828656852388545
2.0,12,2.2205904800302303
2.0,13,1.882136058644373
2.0,14,2.8309848993157933
2.0,15,2.747046296034056
2.0,16,2.0487518126395354
2.0,17,1.400882516174219
2.0,18,0.21713591780371444
2.0,19,0.4117872623700338
2.0,20,1.50149787530062
2.0,21,1.2705373651391412
2.0,22,1.1684026757204093
2.0,23,1.5144733888084654
2.0,24,1.7133499142590443
2.0,25,2.9561988444614693
4.0,0,5.226679851133547
4.0,1,4.048743061768545
4.0,2,3.4978991072061763
4.0,3,3.3011374576490295
4.0,4,2.9987236195186298
4.0,5,3.394658495632003
4.0,6,2.755145012555783
4.0,7,1.665434399625196
4.0,8,2.341257048296575
4.0,9,3.2312034599724377
4.0,10,3.8354158814801
4.0,11,4.531595488981185
4.0,12,3.92352911662287
4.0,13,3.5850746952370125
4.0,14,4.533923535908434
4.0,15,4.4499849326266965
4.0,16,3.7516904492321754
4.0,17,3.103821152766859
4.0,18,1.9200745543963542
4.0,19,2.1147258989626736
4.0,20,3.2044365118932596
4.0,21,2.9734760017317807
4.0,22,2.871341312313049
4.0,23,3.217412025401105
4.0,24,3.416288550851684
4.0,25,4.659137481054109
8.0,0,8.632557124318826
8.0,1,7.454620334953825
8.0,2,6.903776380391456
8.0,3,6.7070147308343095
8.0,4,6.404600892703909
8.0,5,6.800535768817283
8.0,6,6.161022285741062
8.0,7,5.0713116728104755
8.0,8,5.747134321481854
8.0,9,6.637080733157717
8.0,10,7.241293154665379
8.0,11,7.937472762166465
8.0,12,7.32940638980815
8.0,13,6.9909519684222925
8.0,14,7.939800809093713
8.0,15,7.855862205811976
8.0,16,7.157567722417455
8.0,17,6.509698425952139
8.0,18,5.325951827581633
8.0,19,5.520603172147953
8.0,20,6.61031378507854
8.0,21,6.379353274917061
8.0,22,6.2772185854983285
8.0,23,6.623289298586385
8.0,24,6.822165824036963
8.0,25,8.065014754239389
16.0,0,15.444311670689386
16.0,1,14.266374881324383
16.0,2,13.715530926762016
16.0,3,13.518769277204868
16.0,4,13.21635543907447
16.0,5,13.612290315187842
16.0,6,12.972776832111622
16.0,7,11.883066219181035
16.0,8,12.558888867852414
16.0,9,13.448835279528277
16.0,10,14.053047701035938
16.0,11,14.749227308537023
16.0,12,14.141160936178709
16.0,13,13.80270651479285
16.0,14,14.751555355464273
16.0,15,14.667616752182536
16.0,16,13.969322268788014
16.0,17,13.321452972322698
16.0,18,12.137706373952193
16.0,19,12.332357718518512
16.0,20,13.422068331449099
16.0,21,13.19110782128762
16.0,22,13.088973131868888
16.0,23,13.435043844956944
16.0,24,13.633920370407523
16.0,25,14.876769300609947
