n,x
0,0.9703295063751646
1,0.41273877596464803
2,-0.24474922970006835
3,-0.48831093283447535
4,-0.3050322093728384
5,0.004863843465917599
6,0.16790145118355748
7,0.1241986917048814
8,-0.013357627862080203
9,-0.10856294605829037
10,-0.10937025137213872
11,-0.052339625626911024
12,-0.0013882152419580698
13,0.009103714206886552
14,-0.01251642465909246
15,-0.03801000123760058
16,-0.047453913334782286
17,-0.04034742602014808
18,-0.028331452061147868
19,-0.022009797975117328
20,-0.023704337853963267
21,-0.029037975177419403
22,-0.03272948597184447
23,-0.03276078859586729
24,-0.030549471260448668
25,-0.02857387068486315
