k,re,im
0,1256.319961695207,0.0
1,-38.10533465259195,42.52095290187092
2,-0.5805813444850685,-166.9389832240144
3,61.71192382546919,-50.20549350967437
4,-49.296902736097756,99.56306607285283
5,28.82084993007184,-10.44495043849254
6,24.56069468512966,-33.356055626652314
7,30.060566107054854,4.529463558294452
8,-16.163834433475046,-12.669132571069827
9,17.518420018255867,-23.86962119095452
10,-15.845317165964197,-29.122744311857993
11,-17.049300064808076,8.718092691569328
12,7.904674940069853,-23.975073534391903
13,-43.53778200067689,-6.547894461980108e-13
14,7.904674940069171,23.975073534392415
15,-17.049300064808467,-8.718092691568462
16,-15.845317165963444,29.122744311858213
17,17.51842001825583,23.86962119095533
18,-16.163834433473475,12.669132571070183
19,30.06056610705327,-4.529463558293571
20,24.560694685130592,33.35605562665329
21,28.82084993007266,10.444950438492214
22,-49.29690273609841,-99.563066072852
23,61.711923825469015,50.205493509672586
24,-0.5805813444853527,166.9389832240136
25,-38.10533465259215,-42.520952901869144
