n_coeff,coeff_ratio,eta_total,eta_ac,eps_l2,rmse,snr_db,max_imag,strategy,basis,id
1,0.038461538461538464,0.9318336557762703,0.0,0.26108685187831654,66.63914126044088,11.664299966870988,0.0,lowpass,total,S0
3,0.11538461538461539,0.9356830452728686,0.056470528681487484,0.25360787591699835,64.73022653729731,11.916745267053763,0.0,lowpass,total,S0
5,0.19230769230769232,0.9685900723062435,0.539216485034527,0.17722846186139687,45.23533996593853,15.029330633543976,0.0,lowpass,total,S0
7,0.2692307692307692,0.9760631542767126,0.6488465679672671,0.1547153700292485,39.48915590489272,16.20933079294062,0.0,lowpass,total,S0
9,0.34615384615384615,0.9906374708963838,0.8626517351013087,0.09676016279242264,24.69681682673436,20.286068192769633,0.0,lowpass,total,S0
11,0.4230769230769231,0.9917470923160959,0.8789298769372613,0.09084551548592734,23.1871773541694,20.833930128326603,0.0,lowpass,total,S0
13,0.5,0.9937731333721647,0.9086518912119148,0.07891049757690823,20.140913864977318,22.0573043625636,0.0,lowpass,total,S0
15,0.5769230769230769,0.9948643527307696,0.9246600748842471,0.07166343048745506,18.291190969995835,22.894048124873898,0.0,lowpass,total,S0
17,0.6538461538461539,0.9953623766576749,0.931966083921064,0.0681000979611995,17.381695076706887,23.33704526718401,0.0,lowpass,total,S0
19,0.7307692307692307,0.9963975093247379,0.9471514760504354,0.060020752038457144,15.319543457947765,24.43397134646525,0.0,lowpass,total,S0
21,0.8076923076923077,0.9976954291645583,0.9661919549642,0.048005945834257276,12.252915008072184,26.374099384534823,0.0,lowpass,total,S0
23,0.8846153846153846,0.998128400911965,0.9725436487852087,0.043261982016951445,11.042077799375047,27.277871750963627,0.0,lowpass,total,S0
25,0.9615384615384616,0.998880895937219,0.9835827478277555,0.03345301276090093,8.538461538461533,29.511295276001043,0.0,lowpass,total,S0
26,1.0,1.0,0.9999999999999999,2.5070347851774846e-15,6.398891556291214e-13,292.01679280303887,0.0,lowpass,total,S0
2,0.07692307692307693,0.0038493894965982794,0.056470528681487484,0.9713544519476458,64.73022653729731,0.2524453001827741,0.0,lowpass,ac,S0
4,0.15384615384615385,0.03675641652997319,0.539216485034527,0.6788103674557953,45.23533996593853,3.365030666672988,0.0,lowpass,ac,S0
6,0.23076923076923078,0.04422949850044239,0.6488465679672671,0.5925820044793213,39.48915590489272,4.545030826069633,0.0,lowpass,ac,S0
8,0.3076923076923077,0.05880381512011354,0.8626517351013087,0.37060526830940976,24.696816826734356,8.62176822589865,0.0,lowpass,ac,S0
10,0.38461538461538464,0.05991343653982578,0.8789298769372613,0.3479513228351583,23.187177354169386,9.16963016145562,0.0,lowpass,ac,S0
12,0.46153846153846156,0.06193947759589443,0.9086518912119148,0.3022384965355728,20.14091386497731,10.393004395692614,0.0,lowpass,ac,S0
14,0.5384615384615384,0.06303069695449932,0.9246600748842471,0.27448119264487075,18.291190969995828,11.229748158002907,0.0,lowpass,ac,S0
16,0.6153846153846154,0.06352872088140465,0.931966083921064,0.26083311921405583,17.381695076706883,11.672745300313023,0.0,lowpass,ac,S0
18,0.6923076923076923,0.0645638535484677,0.9471514760504354,0.22988806830621522,15.319543457947757,12.769671379594264,0.0,lowpass,ac,S0
20,0.7692307692307693,0.06586177338828805,0.9661919549642,0.1838696414196727,12.252915008072184,14.709799417663838,0.0,lowpass,ac,S0
22,0.8461538461538461,0.06629474513569467,0.9725436487852087,0.1656995812148915,11.042077799375054,15.613571784092631,0.0,lowpass,ac,S0
24,0.9230769230769231,0.06704724016094875,0.9835827478277555,0.12812982545935409,8.538461538461533,17.846995309130055,0.0,lowpass,ac,S0
25,0.9615384615384616,0.06816634422372975,0.9999999999999999,9.47024510782607e-15,6.310890015114207e-13,280.47277560979984,0.0,lowpass,ac,S0
1,0.038461538461538464,0.9318336557762703,0.0,0.26108685187831654,66.63914126044088,11.664299966870988,0.0,magnitude,total,S0
