id,transform,threshold,n_coeff,eps_l2,mean_removed
S0,DCT-II,0.9,10,0.29948369232934363,True
S0,DFT,0.9,12,0.2976336199260299,True
S0,DCT-II,0.95,14,0.1994432830636228,True
S0,DFT,0.95,17,0.19970526790683824,True
S0,DCT-II,0.99,18,0.09516716196012016,True
S0,DFT,0.99,23,0.0796975145221518,True
S1,DCT-II,0.9,2,0.2534566329547159,True
S1,DFT,0.9,2,3.008470202412198e-15,True
S1,DCT-II,0.95,3,0.14682496071990536,True
S1,DFT,0.95,2,3.008470202412198e-15,True
S1,DCT-II,0.99,5,0.06996658695928289,True
S1,DFT,0.99,2,3.008470202412198e-15,True
S2,DCT-II,0.9,2,0.29191228948587034,True
S2,DFT,0.9,8,0.30504730409636416,True
S2,DCT-II,0.95,3,0.16362763405201838,True
S2,DFT,0.95,14,0.20211692332546002,True
S2,DCT-II,0.99,5,0.08321410998848495,True
S2,DFT,0.99,22,0.09502299716117815,True
S3,DCT-II,0.9,3,0.2745608274175796,True
S3,DFT,0.9,4,0.24913643956122059,True
S3,DCT-II,0.95,4,0.20927568374306355,True
S3,DFT,0.95,6,2.983482528457906e-15,True
S3,DCT-II,0.99,9,0.07783134817214345,True
S3,DFT,0.99,6,2.983482528457906e-15,True
S4,DCT-II,0.9,12,0.3107691868376964,True
S4,DFT,0.9,18,0.26744496504993825,True
S4,DCT-II,0.95,15,0.2116258603245348,True
S4,DFT,0.95,20,0.2053122339096818,True
S4,DCT-II,0.99,20,0.08926314716281343,True
S4,DFT,0.99,23,0.0518492670530514,True
S5,DCT-II,0.9,7,0.3025628651148973,True
S5,DFT,0.9,16,0.2958196583861483,True
S5,DCT-II,0.95,9,0.16491016760605298,True
S5,DFT,0.95,20,0.2063425726221866,True
S5,DCT-II,0.99,10,0.07477191187278458,True
S5,DFT,0.99,24,0.09003204727677644,True
